var_name,value_type,var_def
total,,
p_age_00_04,,
p_age_05_09,,
p_age_10_14,,
p_age_15_19,,
p_age_20_24,,
p_age_25_29,,
p_age_30_34,,
p_age_35_39,,
p_age_40_44,,
p_age_45_49,,
p_age_50_54,,
p_age_55_59,,
p_age_60_64,,
p_age_65_69,,
p_age_70_74,,
p_age_75_59,,
p_age_80_84,,
p_age_85,,
p_race_white,,
p_race_black,,
p_race_asian,,
p_race_pi,,
p_race_api,,
p_race_aian,,
p_race_other,,
p_rh_hisp,,
p_rh_nhwhite,,
p_rh_nhblack,,
p_rh_nhasian,,
p_rh_nhpi,,
p_rh_nhapi,,
p_rh_nhaian,,
p_rh_nhother,,
p_poverty,,
