var,value_type,dataset_id
PL_RUCA10_2005,double,KY_SID_2013_CORE
PL_RUCA2005,double,KY_SID_2013_CORE
PL_RUCA4_2005,double,KY_SID_2013_CORE
PL_RUCC,double,KY_SID_2013_CORE
PL_UIC,double,KY_SID_2013_CORE
PL_UR_CAT4,double,KY_SID_2013_CORE
PR1,string,KY_SID_2013_CORE
PR2,string,KY_SID_2013_CORE
PR3,string,KY_SID_2013_CORE
PR4,string,KY_SID_2013_CORE
PR5,string,KY_SID_2013_CORE
PR6,string,KY_SID_2013_CORE
PR7,string,KY_SID_2013_CORE
PR8,string,KY_SID_2013_CORE
PR9,string,KY_SID_2013_CORE
PR10,string,KY_SID_2013_CORE
PR11,string,KY_SID_2013_CORE
PR12,string,KY_SID_2013_CORE
PR13,string,KY_SID_2013_CORE
PR14,string,KY_SID_2013_CORE
PR15,string,KY_SID_2013_CORE
PR16,string,KY_SID_2013_CORE
PR17,string,KY_SID_2013_CORE
PR18,string,KY_SID_2013_CORE
PR19,string,KY_SID_2013_CORE
PR20,string,KY_SID_2013_CORE
PR21,string,KY_SID_2013_CORE
PR22,string,KY_SID_2013_CORE
PR23,string,KY_SID_2013_CORE
PR24,string,KY_SID_2013_CORE
PR25,string,KY_SID_2013_CORE
PRCCS1,double,KY_SID_2013_CORE
PRCCS2,double,KY_SID_2013_CORE
PRCCS3,double,KY_SID_2013_CORE
PRCCS4,double,KY_SID_2013_CORE
PRCCS5,double,KY_SID_2013_CORE
PRCCS6,double,KY_SID_2013_CORE
PRCCS7,double,KY_SID_2013_CORE
PRCCS8,double,KY_SID_2013_CORE
PRCCS9,double,KY_SID_2013_CORE
PRCCS10,double,KY_SID_2013_CORE
PRCCS11,double,KY_SID_2013_CORE
PRCCS12,double,KY_SID_2013_CORE
PRCCS13,double,KY_SID_2013_CORE
PRCCS14,double,KY_SID_2013_CORE
PRCCS15,double,KY_SID_2013_CORE
PRCCS16,double,KY_SID_2013_CORE
PRCCS17,double,KY_SID_2013_CORE
PRCCS18,double,KY_SID_2013_CORE
PRCCS19,double,KY_SID_2013_CORE
PRCCS20,double,KY_SID_2013_CORE
