var,value_type,dataset_id
PRCCS7,double,MA_SID_2013_CORE
PRCCS8,double,MA_SID_2013_CORE
PRCCS9,double,MA_SID_2013_CORE
PRCCS10,double,MA_SID_2013_CORE
PRCCS11,double,MA_SID_2013_CORE
PRCCS12,double,MA_SID_2013_CORE
PRCCS13,double,MA_SID_2013_CORE
PRCCS14,double,MA_SID_2013_CORE
PRCCS15,double,MA_SID_2013_CORE
PRDAY1,double,MA_SID_2013_CORE
PRDAY2,double,MA_SID_2013_CORE
PRDAY3,double,MA_SID_2013_CORE
PRDAY4,double,MA_SID_2013_CORE
PRDAY5,double,MA_SID_2013_CORE
PRDAY6,double,MA_SID_2013_CORE
PRDAY7,double,MA_SID_2013_CORE
PRDAY8,double,MA_SID_2013_CORE
PRDAY9,double,MA_SID_2013_CORE
PRDAY10,double,MA_SID_2013_CORE
PRDAY11,double,MA_SID_2013_CORE
PRDAY12,double,MA_SID_2013_CORE
PRDAY13,double,MA_SID_2013_CORE
PRDAY14,double,MA_SID_2013_CORE
PRDAY15,double,MA_SID_2013_CORE
PROCTYPE,double,MA_SID_2013_CORE
PSTATE,string,MA_SID_2013_CORE
PSTCO2,double,MA_SID_2013_CORE
RACE,double,MA_SID_2013_CORE
RACE_X,string,MA_SID_2013_CORE
TOTCHG,double,MA_SID_2013_CORE
TOTCHG_X,double,MA_SID_2013_CORE
TRAN_IN,double,MA_SID_2013_CORE
TRAN_OUT,double,MA_SID_2013_CORE
VisitLink,double,MA_SID_2013_CORE
YEAR,double,MA_SID_2013_CORE
ZIP3,string,MA_SID_2013_CORE
ZIPINC_QRTL,double,MA_SID_2013_CORE
AYEAR,double,MA_SID_2013_CORE
PRMONTH1,double,MA_SID_2013_CORE
PRMONTH2,double,MA_SID_2013_CORE
PRMONTH3,double,MA_SID_2013_CORE
PRMONTH4,double,MA_SID_2013_CORE
PRMONTH5,double,MA_SID_2013_CORE
PRMONTH6,double,MA_SID_2013_CORE
PRMONTH7,double,MA_SID_2013_CORE
PRMONTH8,double,MA_SID_2013_CORE
PRMONTH9,double,MA_SID_2013_CORE
PRMONTH10,double,MA_SID_2013_CORE
PRMONTH11,double,MA_SID_2013_CORE
PRMONTH12,double,MA_SID_2013_CORE
PRMONTH13,double,MA_SID_2013_CORE
PRMONTH14,double,MA_SID_2013_CORE
PRMONTH15,double,MA_SID_2013_CORE
PRYEAR1,double,MA_SID_2013_CORE
PRYEAR2,double,MA_SID_2013_CORE
PRYEAR3,double,MA_SID_2013_CORE
PRYEAR4,double,MA_SID_2013_CORE
PRYEAR5,double,MA_SID_2013_CORE
PRYEAR6,double,MA_SID_2013_CORE
PRYEAR7,double,MA_SID_2013_CORE
PRYEAR8,double,MA_SID_2013_CORE
PRYEAR9,double,MA_SID_2013_CORE
PRYEAR10,double,MA_SID_2013_CORE
PRYEAR11,double,MA_SID_2013_CORE
PRYEAR12,double,MA_SID_2013_CORE
PRYEAR13,double,MA_SID_2013_CORE
PRYEAR14,double,MA_SID_2013_CORE
PRYEAR15,double,MA_SID_2013_CORE
