var,var_label,value_type,dataset_id
REVCHG24,Detailed charges for revenue code 24 (as received from source),double,MA_SID_2014_CHGS
REVCHG25,Detailed charges for revenue code 25 (as received from source),double,MA_SID_2014_CHGS
REVCHG26,Detailed charges for revenue code 26 (as received from source),double,MA_SID_2014_CHGS
REVCHG27,Detailed charges for revenue code 27 (as received from source),double,MA_SID_2014_CHGS
REVCHG28,Detailed charges for revenue code 28 (as received from source),double,MA_SID_2014_CHGS
REVCHG29,Detailed charges for revenue code 29 (as received from source),double,MA_SID_2014_CHGS
REVCHG30,Detailed charges for revenue code 30 (as received from source),double,MA_SID_2014_CHGS
REVCHG31,Detailed charges for revenue code 31 (as received from source),double,MA_SID_2014_CHGS
REVCHG32,Detailed charges for revenue code 32 (as received from source),double,MA_SID_2014_CHGS
REVCHG33,Detailed charges for revenue code 33 (as received from source),double,MA_SID_2014_CHGS
REVCHG34,Detailed charges for revenue code 34 (as received from source),double,MA_SID_2014_CHGS
REVCHG35,Detailed charges for revenue code 35 (as received from source),double,MA_SID_2014_CHGS
REVCHG36,Detailed charges for revenue code 36 (as received from source),double,MA_SID_2014_CHGS
REVCHG37,Detailed charges for revenue code 37 (as received from source),double,MA_SID_2014_CHGS
REVCHG38,Detailed charges for revenue code 38 (as received from source),double,MA_SID_2014_CHGS
REVCHG39,Detailed charges for revenue code 39 (as received from source),double,MA_SID_2014_CHGS
REVCHG40,Detailed charges for revenue code 40 (as received from source),double,MA_SID_2014_CHGS
REVCHG41,Detailed charges for revenue code 41 (as received from source),double,MA_SID_2014_CHGS
REVCHG42,Detailed charges for revenue code 42 (as received from source),double,MA_SID_2014_CHGS
REVCHG43,Detailed charges for revenue code 43 (as received from source),double,MA_SID_2014_CHGS
REVCHG44,Detailed charges for revenue code 44 (as received from source),double,MA_SID_2014_CHGS
REVCHG45,Detailed charges for revenue code 45 (as received from source),double,MA_SID_2014_CHGS
REVCHG46,Detailed charges for revenue code 46 (as received from source),double,MA_SID_2014_CHGS
REVCHG47,Detailed charges for revenue code 47 (as received from source),double,MA_SID_2014_CHGS
REVCHG48,Detailed charges for revenue code 48 (as received from source),double,MA_SID_2014_CHGS
REVCHG49,Detailed charges for revenue code 49 (as received from source),double,MA_SID_2014_CHGS
REVCHG50,Detailed charges for revenue code 50 (as received from source),double,MA_SID_2014_CHGS
REVCHG51,Detailed charges for revenue code 51 (as received from source),double,MA_SID_2014_CHGS
REVCHG52,Detailed charges for revenue code 52 (as received from source),double,MA_SID_2014_CHGS
REVCHG53,Detailed charges for revenue code 53 (as received from source),double,MA_SID_2014_CHGS
REVCHG54,Detailed charges for revenue code 54 (as received from source),double,MA_SID_2014_CHGS
REVCHG55,Detailed charges for revenue code 55 (as received from source),double,MA_SID_2014_CHGS
REVCHG56,Detailed charges for revenue code 56 (as received from source),double,MA_SID_2014_CHGS
REVCHG57,Detailed charges for revenue code 57 (as received from source),double,MA_SID_2014_CHGS
REVCHG58,Detailed charges for revenue code 58 (as received from source),double,MA_SID_2014_CHGS
REVCHG59,Detailed charges for revenue code 59 (as received from source),double,MA_SID_2014_CHGS
UNIT1,Units of service 1 (as received from source),double,MA_SID_2014_CHGS
UNIT2,Units of service 2 (as received from source),double,MA_SID_2014_CHGS
UNIT3,Units of service 3 (as received from source),double,MA_SID_2014_CHGS
UNIT4,Units of service 4 (as received from source),double,MA_SID_2014_CHGS
UNIT5,Units of service 5 (as received from source),double,MA_SID_2014_CHGS
UNIT6,Units of service 6 (as received from source),double,MA_SID_2014_CHGS
UNIT7,Units of service 7 (as received from source),double,MA_SID_2014_CHGS
UNIT8,Units of service 8 (as received from source),double,MA_SID_2014_CHGS
UNIT9,Units of service 9 (as received from source),double,MA_SID_2014_CHGS
UNIT10,Units of service 10 (as received from source),double,MA_SID_2014_CHGS
UNIT11,Units of service 11 (as received from source),double,MA_SID_2014_CHGS
UNIT12,Units of service 12 (as received from source),double,MA_SID_2014_CHGS
UNIT13,Units of service 13 (as received from source),double,MA_SID_2014_CHGS
UNIT14,Units of service 14 (as received from source),double,MA_SID_2014_CHGS
UNIT15,Units of service 15 (as received from source),double,MA_SID_2014_CHGS
UNIT16,Units of service 16 (as received from source),double,MA_SID_2014_CHGS
UNIT17,Units of service 17 (as received from source),double,MA_SID_2014_CHGS
UNIT18,Units of service 18 (as received from source),double,MA_SID_2014_CHGS
UNIT19,Units of service 19 (as received from source),double,MA_SID_2014_CHGS
UNIT20,Units of service 20 (as received from source),double,MA_SID_2014_CHGS
UNIT21,Units of service 21 (as received from source),double,MA_SID_2014_CHGS
UNIT22,Units of service 22 (as received from source),double,MA_SID_2014_CHGS
UNIT23,Units of service 23 (as received from source),double,MA_SID_2014_CHGS
UNIT24,Units of service 24 (as received from source),double,MA_SID_2014_CHGS
UNIT25,Units of service 25 (as received from source),double,MA_SID_2014_CHGS
UNIT26,Units of service 26 (as received from source),double,MA_SID_2014_CHGS
UNIT27,Units of service 27 (as received from source),double,MA_SID_2014_CHGS
UNIT28,Units of service 28 (as received from source),double,MA_SID_2014_CHGS
UNIT29,Units of service 29 (as received from source),double,MA_SID_2014_CHGS
UNIT30,Units of service 30 (as received from source),double,MA_SID_2014_CHGS
UNIT31,Units of service 31 (as received from source),double,MA_SID_2014_CHGS
UNIT32,Units of service 32 (as received from source),double,MA_SID_2014_CHGS
UNIT33,Units of service 33 (as received from source),double,MA_SID_2014_CHGS
UNIT34,Units of service 34 (as received from source),double,MA_SID_2014_CHGS
UNIT35,Units of service 35 (as received from source),double,MA_SID_2014_CHGS
UNIT36,Units of service 36 (as received from source),double,MA_SID_2014_CHGS
UNIT37,Units of service 37 (as received from source),double,MA_SID_2014_CHGS
UNIT38,Units of service 38 (as received from source),double,MA_SID_2014_CHGS
UNIT39,Units of service 39 (as received from source),double,MA_SID_2014_CHGS
UNIT40,Units of service 40 (as received from source),double,MA_SID_2014_CHGS
UNIT41,Units of service 41 (as received from source),double,MA_SID_2014_CHGS
UNIT42,Units of service 42 (as received from source),double,MA_SID_2014_CHGS
UNIT43,Units of service 43 (as received from source),double,MA_SID_2014_CHGS
UNIT44,Units of service 44 (as received from source),double,MA_SID_2014_CHGS
UNIT45,Units of service 45 (as received from source),double,MA_SID_2014_CHGS
UNIT46,Units of service 46 (as received from source),double,MA_SID_2014_CHGS
UNIT47,Units of service 47 (as received from source),double,MA_SID_2014_CHGS
UNIT48,Units of service 48 (as received from source),double,MA_SID_2014_CHGS
UNIT49,Units of service 49 (as received from source),double,MA_SID_2014_CHGS
UNIT50,Units of service 50 (as received from source),double,MA_SID_2014_CHGS
UNIT51,Units of service 51 (as received from source),double,MA_SID_2014_CHGS
UNIT52,Units of service 52 (as received from source),double,MA_SID_2014_CHGS
UNIT53,Units of service 53 (as received from source),double,MA_SID_2014_CHGS
UNIT54,Units of service 54 (as received from source),double,MA_SID_2014_CHGS
UNIT55,Units of service 55 (as received from source),double,MA_SID_2014_CHGS
UNIT56,Units of service 56 (as received from source),double,MA_SID_2014_CHGS
UNIT57,Units of service 57 (as received from source),double,MA_SID_2014_CHGS
UNIT58,Units of service 58 (as received from source),double,MA_SID_2014_CHGS
UNIT59,Units of service 59 (as received from source),double,MA_SID_2014_CHGS
