var,value_type,dataset_id
CPTM1_29,string,NJ_SID_2012_CORE
CPTM1_30,string,NJ_SID_2012_CORE
CPTM1_31,string,NJ_SID_2012_CORE
CPTM1_32,string,NJ_SID_2012_CORE
CPTM1_33,string,NJ_SID_2012_CORE
CPTM1_34,string,NJ_SID_2012_CORE
CPTM1_35,string,NJ_SID_2012_CORE
CPTM1_36,string,NJ_SID_2012_CORE
CPTM1_37,string,NJ_SID_2012_CORE
CPTM1_38,string,NJ_SID_2012_CORE
CPTM1_39,string,NJ_SID_2012_CORE
CPTM1_40,string,NJ_SID_2012_CORE
CPTM1_41,string,NJ_SID_2012_CORE
CPTM1_42,string,NJ_SID_2012_CORE
CPTM1_43,string,NJ_SID_2012_CORE
CPTM1_44,string,NJ_SID_2012_CORE
CPTM1_45,string,NJ_SID_2012_CORE
CPTM1_46,string,NJ_SID_2012_CORE
CPTM1_47,string,NJ_SID_2012_CORE
CPTM1_48,string,NJ_SID_2012_CORE
CPTM1_49,string,NJ_SID_2012_CORE
CPTM1_50,string,NJ_SID_2012_CORE
CPTM2_1,string,NJ_SID_2012_CORE
CPTM2_2,string,NJ_SID_2012_CORE
CPTM2_3,string,NJ_SID_2012_CORE
CPTM2_4,string,NJ_SID_2012_CORE
CPTM2_5,string,NJ_SID_2012_CORE
CPTM2_6,string,NJ_SID_2012_CORE
CPTM2_7,string,NJ_SID_2012_CORE
CPTM2_8,string,NJ_SID_2012_CORE
CPTM2_9,string,NJ_SID_2012_CORE
CPTM2_10,string,NJ_SID_2012_CORE
CPTM2_11,string,NJ_SID_2012_CORE
CPTM2_12,string,NJ_SID_2012_CORE
CPTM2_13,string,NJ_SID_2012_CORE
CPTM2_14,string,NJ_SID_2012_CORE
CPTM2_15,string,NJ_SID_2012_CORE
CPTM2_16,string,NJ_SID_2012_CORE
CPTM2_17,string,NJ_SID_2012_CORE
CPTM2_18,string,NJ_SID_2012_CORE
CPTM2_19,string,NJ_SID_2012_CORE
CPTM2_20,string,NJ_SID_2012_CORE
CPTM2_21,string,NJ_SID_2012_CORE
CPTM2_22,string,NJ_SID_2012_CORE
CPTM2_23,string,NJ_SID_2012_CORE
CPTM2_24,string,NJ_SID_2012_CORE
CPTM2_25,string,NJ_SID_2012_CORE
CPTM2_26,string,NJ_SID_2012_CORE
CPTM2_27,string,NJ_SID_2012_CORE
