var,var_label,value_type,dataset_id
CHARGE,Line item charges (as received from source),double,KY_SID_2015q1q3_CHGS
KEY,HCUP record identifier,double,KY_SID_2015q1q3_CHGS
REVCODE,Line item revenue code (as received from source),string,KY_SID_2015q1q3_CHGS
UNITS,Line item units (as received from source),double,KY_SID_2015q1q3_CHGS
